;ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
84;Hungary;1;10;30;11,14;0;0;0;0;1;0;0,575809065
85;Iceland;1;;;33,33;0;0;0;0;0;0;2,209997979
86;India;2,5;9;36,8;9,18;0;0;0;0;0;0;-0,336544078
87;Indonesia;2,5;8;37,6;11,64;0;0;0;1;0;0;-0,70451916
88;Iran, Islamic Rep.;6;-7;38,3;2,8;1;0;0;0;0;0;-0,600917259
89;Iraq;5,5;0;38,3;25,45;1;0;0;0;0;0;-1,462697217
90;Ireland;1;10;34,3;15,49;0;0;0;0;0;0;1,689074613
91;Isle of Man;;;;;0;0;0;0;0;0;
92;Israel;1,5;10;39,2;14,17;1;0;0;0;0;0;0,885728613
93;Italy;1,5;10;36;20,17;0;0;0;0;0;0;0,238881472
94;Jamaica;2,5;9;45,5;13,58;0;0;1;0;0;0;-0,406013046
95;Japan;1,5;10;24,9;12,33;0;0;0;0;0;0;1,289553406
96;Jordan;5,5;-3;37,7;8,48;1;0;0;0;0;0;0,349111855
97;Kazakhstan;5,5;-6;30,9;12,34;0;0;0;0;0;0;-0,93765319
98;Kenya;4;7;47,7;9,82;0;0;0;0;0;1;-0,987641034
99;Kiribati;1;;;4,35;0;0;0;0;0;0;0,087553848
100;Korea, Dem. Rep.;7;-9;;20,09;0;0;0;1;0;0;-1,563176164
101;Korea, Rep.;1,5;8;31,6;13,71;0;0;0;1;0;0;0,532592111
102;Kosovo;4,5;;;;0;0;0;0;1;0;-0,64186904
103;Kuwait;4;-7;;3,08;1;0;0;0;0;0;0,628466282
104;Kyrgyz Republic;5,5;1;33,5;25,56;0;0;0;0;0;0;-1,174855448
105;Lao PDR;6,5;-7;32,6;25,22;0;0;0;1;0;0;-1,20605454
106;Latvia;1,5;8;36,3;20;0;0;0;0;0;0;0,335019286
107;Lebanon;4;7;;4,69;1;0;0;0;0;0;-0,803180297
108;Lesotho;3;8;52,5;25,83;0;0;0;0;0;1;-0,02865103
109;Liberia;3,5;6;52,6;13,83;0;0;0;0;0;1;-0,715497298
110;Libya;7;-7;;7,69;1;0;0;0;0;0;-0,904755724
111;Liechtenstein;1;;;24;0;0;0;0;0;0;1,300758973
112;Lithuania;1;10;35,8;17,73;0;0;0;0;0;0;0,197262021
113;Luxembourg;1;;;23,33;0;0;0;0;0;0;1,888349225
114;Macao SAR, China;;;;;0;0;0;1;0;0;0,341979483
115;Macedonia, FYR;3;9;42,8;31,67;0;0;0;0;1;0;-0,224905719
116;Madagascar;5;0;47,2;9,38;0;0;0;0;0;1;-0,142269242
117;Malawi;3,5;6;39;12,95;0;0;0;0;0;1;-0,628449771
118;Malaysia;4;6;37,9;14,59;0;0;0;1;0;0;0,248531499
119;Maldives;3,5;;37,4;12;0;0;0;0;0;0;-0,632013197
120;Mali;2,5;7;39;10,2;0;0;0;0;0;1;-0,469028823
121;Malta;1;;;8,7;0;0;0;0;0;0;0,970310606
122;Marshall Islands;1;;;3,03;0;0;0;0;0;0;-0,489121998
123;Mauritania;5,5;-2;39;19,87;0;0;0;0;0;1;-0,537831259
124;Mauritius;1,5;10;;17,1;0;0;0;0;0;1;0,525747144
125;Mayotte;;;;;0;0;0;0;0;1;
